Gene name	Human gene name
si:ch73-281n10.2	
atrn	ATRN
maco1b	MACO1
drosha	DROSHA
zgc:112038	TPSG1
zgc:112038	TPSAB1
zgc:112038	TPSB2
zgc:112038	TPSD1
orc6	ORC6
sf3b4	SF3B4
il2rga	IL2RG
il2rga	AL590764.2
il2rga	IL3RA
il2rga	IL27RA
prom1a	PROM1
nfyba	NFYB
zgc:162060	
myef2	MYEF2
myef2	MYEF2
trpm7	TRPM7
hic1l	
pitx3	
ggh	GGH
klf17	KLF14
klf17	KLF17
klf17	KLF18
insig1	INSIG1
tubg1	TUBG1
hmgcrb	HMGCR
arl4cb	ARL4C
hoxd9a	HOXD9
ical1	ICA1L
tubg1	TUBG1
fibcd1	FIBCD1
ppp3r1a	PPP3R1
ppp3r1a	AC017083.3
si:dkey-4p15.3	HSPA8
dmxl2	DMXL2
dhrs3a	DHRS3
yipf3	YIPF3
zgc:158258	C1orf116
rgs17	RGS17
cxcr4a	CXCR4
ftsj1	FTSJ1
eif4a1a	
hddc3	HDDC3
zgc:86709	ACTC1
clk4b	CLK1
nudcd2	NUDCD2
psmc2	PSMC2
en2a	EN2
ppp3ca	
u2af2a	U2AF2
zdhhc8b	ZDHHC8
slc2a8	SLC2A8
xpot	XPOT
cul3a	CUL3
cdc16	CDC16
ppa2	PPA2
chchd10	CHCHD10
sarm1	SARM1
tmem129	TMEM129
clk4b	CLK1
lingo4a	
atxn7l2b	ATXN7L2
ddt	DDTL
ddt	DDT
ddt	AC253536.7
vps35	VPS35
ldb3a	LDB3
otol1a	OTOL1
rgs5a	RGS5
fahd1	FAHD1
mocs3	MOCS3
odam	
zgc:56699	GTSF1L
rrbp1a	RRBP1
xpo7	XPO7
hoxd10a	HOXD10
gabra6a	GABRA6
nudc	NUDC
vps33b	VPS33B
vps33b	AC068831.7
crybb2	CRYBB2
thrap3b	THRAP3
dscama	DSCAM
myo1ca	
cfl1l	DSTN
zgc:112982	BCLAF3
ube2z	UBE2Z
hhatlb	HHATL
foxc1a	FOXC1
pitpnbl	
pcp4a	PCP4
polr2j	POLR2J
polr2j	POLR2J2
polr2j	POLR2J3
polr2j	AC105052.3
polr2j	POLR2J3
nmt2	NMT2
smad6b	SMAD6
ncalda	NCALD
xpo4	XPO4
klf6a	KLF6
cd180	CD180
si:dkey-189g17.2	
kdm6bb	KDM6B
cib2	CIB2
selenoi	SELENOI
bloc1s1	BLOC1S1
bloc1s1	AC009779.3
map2k2a	AC011005.1
map2k2a	MAP2K2
sla1a	SLA
TMEM208	TMEM208
map2k2b	AC011005.1
map2k2b	MAP2K2
ccdc40	CCDC40
galn	GAL
gtpbp1l	GTPBP1
ponzr1	
mylk3	MYLK3
dnmt3bb.2	DNMT3L
dnmt3bb.2	FP565260.4
atp8a1	ATP8A1
foxj3	
srsf10b	SRSF10
zgc:66448	ZNF850
caprin2	CAPRIN2
acta2	
tas1r2.1	TAS1R2
zgc:110339	CBR3
snx9b	SNX9
itpka	ITPKA
ece2b	ECE2
ece2b	EEF1AKMT4-ECE2
yod1	YOD1
hikeshi	HIKESHI
prkab1b	PRKAB1
dmtn	DMTN
snrnp70	SNRNP70
lrrc61	LRRC61
larp6a	LARP6
neurog1	
zgc:153896	
ccl19a.1	
si:ch211-225k7.5	
prkab1b	PRKAB1
ydjc	YDJC
tbc1d17	TBC1D17
zgc:101744	REEP4
bcs1l	BCS1L
psmd3	PSMD3
pbdc1	PBDC1
sars2	AC011455.2
sars2	SARS2
lrrc4.2	LRRC4
si:dkey-83f18.5	
cerkl	CERKL
tpgs2	TPGS2
alkbh5	ALKBH5
gig2p	
elmsan1a	ELMSAN1
lepa	
slc7a8a	SLC7A8
sdf2l1	SDF2L1
chaf1a	CHAF1A
itih3a	ITIH3
slc6a15	SLC6A15
smarca5	
hmx4	AC004080.3
hmx4	HOXA9
gosr1	GOSR1
map2k7	MAP2K7
mpp6b	MPP6
cnot10	CNOT10
dcbld2	DCBLD2
zpld1a	ZPLD1
fam49ba	
efna3b	EFNA3
efna3b	AL691442.1
rab5ab	RAB5A
fam49ba	
msrb1a	MSRB1
crkl	CRKL
slc52a2	SLC52A2
slc52a2	SLC52A1
pappab	PAPPA
plekhf1	ZFYVE16
plekhf1	PLEKHF1
slc25a16	SLC25A16
rdh1	
cacnb4b	AC068547.1
cacnb4b	CACNB4
si:ch211-226h8.14	
gpd1c	
dnmt3bb.3	DNMT3L
dnmt3bb.3	FP565260.4
zgc:153968	TPSG1
zgc:153968	TPSAB1
zgc:153968	TPSB2
zgc:153968	TPSD1
mycbp	MYCBP
mycbp	AL139260.3
cyp27c1	CYP27C1
cacnb4b	AC068547.1
cacnb4b	CACNB4
vegfc	VEGFC
FAR2	FAR2
cx52.9	GJA9
vtna	VTN
ap5m1	AP5M1
dhrs9	DHRS9
phykpl	PHYKPL
ube2l3b	UBE2L5
ube2l3b	UBE2L3
glmna	GLMN
evx2	EVX2
si:zfos-2070c2.1	HLA-DQA2
si:zfos-2070c2.1	HLA-DQA1
alkbh4	ALKBH4
si:dkey-83f18.2	
zbtb22b	ZBTB22
alkbh4	ALKBH4
serpina7	
igf2bp2b	IGF2BP2
tm2d1	TM2D1
hoxd13a	
ctss1	CTSV
ctss1	CTSL
ctss1	CTSW
ctss1	TINAG
ctss1	CTSF
plk2b	PLK2
ek1	
csnk1g1	CSNK1G1
hoxd12a	HOXD12
hmx1	HMX1
slc7a6os	SLC7A6OS
si:ch211-63o20.7	
kif22	KIF22
ube2j2	UBE2J2
hoxd11a	HOXD11
acy1	ABHD14A-ACY1
acy1	ACY1
fdxacb1	FDXACB1
psmc3ip	PSMC3IP
sdcbp	SDCBP2
tln2a	TLN2
ift80	IFT80
homer3b	AC002985.1
homer3b	HOMER3
basp1	
sft2d3	SFT2D3
si:ch211-283h6.4	C2orf68
slc1a8b	
hebp2	HEBP2
acy1	ABHD14A-ACY1
acy1	ACY1
acy1	ABHD14A-ACY1
acy1	ACY1
rplp0	RPLP0
olfml3b	OLFML3
psmb4	PSMB4
fosb	FOSB
gstt1b	
picalma	PICALM
gria2a	GRIA2
rcor3	RCOR3
rgs16	
her1	HES7
rac3b	RAC3
mtmr10	MTMR10
mtmr8	MTMR8
zgc:101715	C19orf12
loxl3a	LOXL3
lcn15	
esrp2	ESRP2
il10rb	IFNAR1
her7	HES5
her7	HEYL
epd	EPDR1
acss2	ACSS2
pnocb	PNOC
nr2f6b	NR2F6
zgc:92590	
nudt17	NUDT17
si:dkey-83f18.3	
zyx	ZYX
ocstamp	OCSTAMP
smc4	SMC4
ttll9	TTLL9
ogfrl1	OGFRL1
tm2d3	TM2D3
zgc:171558	RAPGEF4
si:ch211-114l13.9	
cisd1	CISD1
phf8	PHF8
atp5mc1	ATP5MC2
adra2c	ADRA2C
tubb4b	
si:ch211-225k7.6	
smurf2	SMURF2
acyp1	
pigl	PIGL
polr2gl	POLR2G
dkk3b	DKK3
cxcl11.8	CXCL9
camsap1a	CAMSAP1
mlycd	MLYCD
mlx	MLX
mlx	MLX
pth1a	PTH
impact	IMPACT
zgc:172065	SEPT14
zgc:172065	SEPT1
tomm70a	TOMM70
rgma	RGMA
zgc:174259	
ugcg	UGCG
patj	PATJ
zgc:172075	SEPT14
zgc:172075	SEPT1
snrpe	SNRPE
si:dkey-58f10.6	
si:dkey-58f10.6	
lin7b	LIN7B
syt11a	SYT11
penkb	PENK
timmdc1	TIMMDC1
nos2b	NOS2
slc35e3	SLC35E3
ing5a	ING5
bcl9l	BCL9L
snapc1b	SNAPC1
nectin1a	NECTIN1
abcd3a	ABCD3
eef1g	EEF1G
hydin	
zic6	ZXDB
zic6	ZXDA
zic6	ZXDC
pip5k1bb	PIP5K1B
ppcs	PPCS
kirrel1a	KIRREL1
gorasp1a	GORASP1
rpl39	RPL39
si:dkey-245p14.4	EXOC1L
ano5b	ANO5
rgs8	RGS16
rgs8	RGS8
si:dkey-58f10.7	
ugp2b	UGP2
spag6	SPAG6
ercc3	ERCC3
cdh10a	CDH10
gse1	GSE1
lft2	LEFTY1
lft2	LEFTY2
meis2b	MEIS2
b3gat2	B3GAT2
zic3	ZIC3
mrps21	
scpp9	
ugp2b	UGP2
neurod1	NEUROD1
f2rl1.2	F2RL1
gpr173	GPR173
si:ch211-225k7.4	
wrb	
zgc:77086	
b3gnt7l	B3GNT6
upf3b	UPF3B
mfsd4ab	MFSD4A
atp1b3b	ATP1B3
rpf2	RPF2
f2rl1.1	F2RL1
fam166b	FAM166B
tas1r2.2	TAS1R2
nostrin	NOSTRIN
atp2b1b	ATP2B1
znf76	ZNF76
wdr12	WDR12
rgs9b	RGS9
med6	MED6
srek1	SREK1
spata6l	SPATA6L
ankrd22	ANKRD22
nxnl1	NXNL1
ess2	ESS2
sesn2	SESN2
git2a	GIT2
avpr1aa	AVPR1A
clint1a	CLINT1
f11r.1	F11R
spc25	SPC25
cel.1	CEL
ntn2	NTN3
idh3a	IDH3A
tead3b	TEAD3
mrps23	MRPS23
slc6a9	SLC6A9
COLGALT1 (1 of many)	COLGALT1
nova1	NOVA1
crabp2b	CRABP2
crabp2b	CRABP2
cyp2k6	CYP2C8
cyp2k6	CYP2J2
cyp2k6	CYP2C18
cyp2k6	AL583836.1
cyp2k6	CYP2C19
cyp2k6	CYP2C9
bmb	
acsl1b	ACSL1
nfe2l2b	
plekha8	PLEKHA8
si:ch211-102c2.7	CCDC117
etnk2	ETNK2
dnajb4	DNAJB4
rps8a	RPS8
lrwd1	LRWD1
ccn4a	CCN4
gria3b	GRIA3
cald1a	
ppil6	PPIL6
znf395b	ZNF395
amy2a	
pno1	PNO1
hlfb	HLF
wbp2nl	WBP2NL
senp3b	SENP3-EIF4A1
senp3b	SENP3
grinab	
smc2	SMC2
cfap298	C21orf59-TCP10L
cfap298	CFAP298
lectin	REG1A
lectin	REG3G
lectin	REG3A
lectin	REG1B
zgc:64002	INMT
zgc:64002	INMT-MINDY4
zgc:64002	NNMT
ifi30	
moxd1l	
cntnap2b	CNTNAP2
hadh	HADH
zgc:171965	
aqp8a.1	AQP8
si:ch211-51h9.7	
ccdc24	CCDC24
dusp1	DUSP1
rad21l1	
ponzr5	
timd4	
cmlc1	MYL4
cmlc1	MYL3
vkorc1l1	VKORC1L1
fitm2	FITM2
nefmb	
nrarpb	
p2rx1	P2RX1
dnajc27	DNAJC27
mrpl10	MRPL10
smap1	SMAP1
ube2e2	
zgc:193811	
dhx33	DHX33
faap24	FAAP24
zgc:114046	
diaph3	DIAPH3
NDUFAF8	NDUFAF8
pik3r6a	
si:dkey-119f1.1	SMC6
slc25a24l	SLC25A25
etaa1	ETAA1
paqr8	PAQR8
pip4p1a	PIP4P1
cycsb	
npy	NPY
panx1b	PANX1
p2rx4a	P2RX4
insrb	INSR
psmb10	PSMB10
tmem161b	TMEM161B
capga	CAPG
zgc:66433	KIAA1210
cep55l	CEP55
ssuh2.2	
ube2d2	
yrdc	YRDC
psmb10	PSMB10
kcnc3a	
rpl22	RPL22
rpl22	AL031847.2
zgc:162396	
atat1	ATAT1
map2k4b	MAP2K4
parvab	PARVA
map3k5	MAP3K5
olfm2b	OLFM2
reep3a	REEP3
dusp23a	DUSP23
atat1	ATAT1
pias4b	PIAS4
rpl23a	RPL23A
stk25b	STK25
zgc:109986	
daxx	DAXX
henmt1	HENMT1
stk25a	STK25
selenok	SELENOK
haus5	
atat1	ATAT1
pias4b	PIAS4
mhc2dab	
mhc2dab	
ppm1h	PPM1J
ppm1h	PPM1H
ppm1h	PPM1N
ppm1h	PPM1M
ppm1h	PP2D1
prkag1	PRKAG1
BX649416.2	
gnai3	GNAI3
gnai3	GNAI1
dcxr	DCXR
soat1	SOAT1
tmem88a	
mfng	MFNG
tlr21	
mdkb	MDK
gabpb2a	IQANK1
polr1b	POLR1B
ifi45	
fbxl15	FBXL15
nars2	NARS2
prkcha	AL355916.3
prkcha	PRKCH
dcun1d2a	DCUN1D2
wdr33	WDR33
efna1b	EFNA1
lipf	LIPA
wdr33	WDR33
golph3	
tcap	TCAP
her3	HES3
alas1	ALAS1
lamb1b	LAMB1
cnot9	CNOT9
st6gal2a	
fkbp14	FKBP14
zdhhc20a	ZDHHC20
zgc:85936	ANKLE1
cnfn	CNFN
si:busm1-266f07.2	HLA-DQA2
si:busm1-266f07.2	HLA-DQA1
tmtops2b	
fbxl6	FBXL19
p3h4	P3H4
pfn1	PFN1
pnrc2	PNRC2
hcfc2	HCFC2
hcfc2	KLHDC9
sel1l	SEL1L
scamp3	SCAMP3
jph1a	JPH1
rit1	RIT1
fam102bb	FAM102B
inavab	INAVA
sgtb	SGTB
eppk1	
ogfrl2	OGFR
zgc:100906	PDIA2
zgc:100906	PDILT
mrpl45	MRPL45
mrpl45	MRPL45
adm2a	
neflb	NEFL
si:ch211-160d20.3	C19orf47
sdr16c5b	SDR16C5
seta	
abcb6a	ABCB6
tapbp.1	TAPBP
tbc1d20	TBC1D20
rpp38	RPP38
sgk2b	
sh3bgr	WRB-SH3BGR
sh3bgr	SH3BGR
zgc:195001	RNF135
zgc:195001	RFPL2
zgc:195001	RFPL3
zgc:195001	RFPL1
zgc:195001	CD274
zgc:195001	CD86
zgc:195001	RFPL4A
zgc:195001	RFPL4AL1
zgc:195001	AL365214.3
zgc:195001	RFPL4B
zgc:195001	CD80
cavin4b	CAVIN4
unc93a	UNC93A
btbd10a	BTBD10
tax1bp3	TAX1BP3
susd6	SUSD6
lsm14ab	LSM14A
arfip2a	ARFIP2
alg9	ALG9
alg9	AP001781.2
chd2	AC013394.1
chd2	CHD2
cxcr3.2	
col8a1a	
pex11b	PEX11B
mpv17l2	MPV17L2
olfml2ba	OLFML2B
atp6ap1lb	ATP6AP1L
gsto1	GSTO1
zgc:162780	
ak5l	
adcy8	ADCY8
nog2	
zgc:110239	CTSV
zgc:110239	CTSL
zgc:110239	CTSF
zgc:162344	
samhd1	SAMHD1
lyrm2	
zgc:66472	ZFP92
zgc:66472	ZNF282
zgc:66472	ZNF689
zgc:66472	ZNF420
zgc:66472	ZNF594
zgc:66472	ZNF764
zgc:66472	AC002310.5
zgc:66472	ZNF747
zgc:66472	AC002310.4
zgc:66472	CTCFL
zgc:66472	ZNF275
zgc:66472	ZNF347
zgc:66472	ZNF574
zgc:66472	ZNF107
zgc:66472	ZNF785
zgc:66472	ZNF473
zgc:66472	ZNF184
zgc:66472	ZNF84
zgc:66472	ZNF208
zgc:66472	ZNF688
zgc:66472	ZNF91
zgc:66472	ZNF845
zgc:66472	ZNF48
zgc:66472	AC010615.4
zgc:66472	ZNF729
zgc:66472	ZNF99
zgc:66472	ZNF569
zgc:66472	ZNF160
zgc:66472	ZNF665
zgc:66472	ZNF181
zgc:66472	ZNF302
zgc:66472	ZNF497
ponzr3	
zgc:110843	
ghdc	GHDC
brinp3a.1	BRINP2
sh2b1	SH2B1
trappc13	TRAPPC13
tbx18	TBX18
elavl1a	ELAVL1
pfkmb	PFKM
trappc13	TRAPPC13
tecrb	TECR
pnx	NKX2-6
foxf2a	
fxn	FXN
cntn1b	CNTN1
oprk1	OPRK1
mier3b	MIER3
hist2h3c	
rrp15	RRP15
cnr2	CNR2
il13ra1	
gipc2	GIPC2
tekt4	TEKT4
si:ch211-237l4.6	
gpx9	GPX1
gpx9	GPX1
si:dkey-24c2.9	VOPP1
ndrg1a	NDRG1
hs6st1b	HS6ST1
ssr2	SSR2
hoxb13a	HOXB13
lepr	LEPR
slc7a6	SLC7A6
rbfox1l	
arf3a	ARF3
arf3a	AC073610.2
asb13a.2	ASB13
bcl2a	BCL2
htr5ab	HTR5A
kcnk10a	KCNK10
baxb	
gfra4a	GFRA4
itgbl1	ITGBL1
ndrg1a	NDRG1
eve1	
txn2	TXN2
afp4	
lrpap1	LRPAP1
zgc:92275	
fam168b	FAM168B
prnprs3	
smad3b	
capns1a	CAPNS1
acbd7	ACBD7
BX510940.1	
tnnt2a	TNNT2
cdh12a	
tfpi2	TFPI2
slc17a7a	SLC17A7
atp10d	ATP10D
tcn2	TCN2
gnsa	GNS
sp8a	
nup153	NUP153
zgc:153990	
shisa2a	
ildr1a	ILDR1
pax2b	PAX2
gnb3b	GNB3
atoh1a	ATOH1
si:dkey-7j14.5	
si:dkey-7j14.5	
ponzr4	
pnpo	PNPO
notch1a	NOTCH1
RAMP1	RAMP1
si:ch211-102c2.4	
sdhaf4	SDHAF4
naa30	NAA30
alkbh6	ALKBH6
ugt5g1	UGT1A9
ugt5g1	UGT1A7
ugt5g1	UGT1A8
ugt5g1	UGT1A10
ugt5g1	UGT1A6
ugt5g1	UGT2B28
ugt5g1	UGT2B10
ugt5g1	UGT2B11
ugt5g1	UGT3A1
ugt5g1	UGT1A3
ugt5g1	UGT1A5
ugt5g1	UGT1A4
ugt5g1	UGT2B4
ugt5g1	UGT2B7
ugt5g1	UGT2A2
ugt5g1	UGT2A1
ugt5g1	UGT2B15
ugt5g1	UGT2B17
ugt5g1	UGT2A3
sema6dl	SEMA6D
cdon	CDON
rbms3	RBMS3
arih2	ARIH2
fzd8a	FZD8
stmn4	STMN4
nr2e3	NR2E3
pdp2	PDP2
grid2	GRID2
ascc2	ASCC2
dapk1	DAPK1
tnpo2	TNPO2
il17a/f3	IL17F
rtn4r	RTN4R
emc10	EMC10
crot	CROT
ppp3r1b	PPP3R1
ppp3r1b	AC017083.3
synj1	SYNJ1
rbm8a	RBM8A
esr2a	ESR2
slc50a1	SLC50A1
cxcr3.3	CXCR3
emc10	EMC10
bcl9	BCL9
pcolcea	PCOLCE
rab18a	
rbm28	RBM28
ssuh2.3	
kpna2	KPNA2
id4	ID4
smad7	SMAD7
gins2	GINS2
sinhcaf	SINHCAF
fuca1.1	FUCA1
nog3	NOG
znf330	ZNF330
rergla	RERGL
mcm3	MCM3
nr1d2a	NR1D2
hypk	HYPK
sema3gb	
ube2d1a	
tmem39a	TMEM39A
poglut1	POGLUT1
glulb	GLUL
nmnat2	NMNAT2
rgs13	RGS13
ubb	UBC
si:dkey-194e6.1	CLTRN
si:dkey-194e6.1	AC097625.2
tbxta	TBX21
lcmt1	LCMT1
si:dkey-21c1.1	
cxcr3.1	CXCR3
asb6	ASB6
tlx1	TLX1
foxq1a	FOXQ1
emilin1a	EMILIN1
tmeff1b	
mfap1	MFAP1
gngt1	GNGT1
gngt1	GNG11
oprm1	OPRM1
katnb1	KATNB1
gss	GSS
cluap1	CLUAP1
rbp4	RBP4
zgc:113263	TINF2
adprm	ADPRM
dhrsx	
il15	IL15
nipbla	
zgc:113983	
sf3b5	SF3B5
npffl	NPFF
fut9d	FUT5
fut9d	FUT6
fut9d	FUT3
gpatch1	GPATCH1
abl2	ABL2
glmnb	GLMN
plp1b	PLP1
gdap1	GDAP1
ankrd13c	ANKRD13C
cpb1	CPB1
cpb1	CPB1
usp39	USP39
lmnb2	LMNB2
wnt10b	WNT10B
utp3	UTP3
tlcd1	TLCD1
txndc12	TXNDC12
slc7a4	SLC7A4
ttc9b	TTC9B
syngr1a	SYNGR1
stoml1	STOML1
znrf1	ZNRF1
adrb1	ADRB1
hsbp1b	HSBP1
usp9	USP9X
usp9	USP9Y
rnls	RNLS
si:dkey-220k22.3	
fam78aa	FAM78A
ecrg4a	C2orf40
npepps	NPEPPS
arrdc2	ARRDC2
zgc:101569	
zgc:165555	
col5a3b	
ccr7	CCR7
gins3	GINS3
ddx47	DDX47
zgc:101569	
slc25a26	SLC25A26
tmc2a	TMC2
cdh4	CDH4
smim8	SMIM8
celf4	CELF4
ppp1r3da	PPP1R3D
smim8	SMIM8
ins	INS-IGF2
ins	INS
slc11a2	SLC11A2
wnt1	WNT1
si:dkey-188i13.6	
zgc:92137	
gnat2	GNAT2
b3gnt3.1	B3GNT3
vegfaa	VEGFA
vegfaa	VEGFA
cep76	CEP76
smg7	SMG7
CYP27A1 (1 of many)	CYP27A1
cdh4	CDH4
myhz1.2	
rtcb	RTCB
rfng	RFNG
uxs1	UXS1
blvrb	BLVRB
stk35	STK35
sp4	SP4
emc3	EMC3
mllt11	MLLT11
lims2	LIMS4
lims2	LIMS3
lims2	AC112229.3
lims2	AC013271.1
zgc:92242	HSH2D
gja5b	GJA5
hes2.2	HES2
tgfbr1a	TGFBR1
boka	BOK
stambpa	STAMBP
pimr109	
pik3r3b	AL358075.4
pik3r3b	PIK3R3
si:ch211-241j12.3	ACTL8
si:ch211-241j12.3	ACTL7B
si:ch211-241j12.3	ACTRT1
si:ch211-241j12.3	ACTRT3
si:ch211-241j12.3	ACTR1B
si:ch211-241j12.3	ACTRT2
si:ch211-241j12.3	ACTL10
jak2b	JAK2
ltk	
cd4-1	CD4
znf1160	
scamp4	SCAMP4
clcn7	CLCN7
hoxb10a	
mphosph10	MPHOSPH10
alx1	ALX1
decr1	DECR1
h2afy2	H2AFY2
psmb1	PSMB1
cox6a1	COX6A2
rnpep	RNPEP
plekhs1	PLEKHS1
hs6st1a	HS6ST1
perp	PERP
pih1d3	PIH1D3
aebp1	AEBP1
ankrd13a	ANKRD13A
havcr1	
znf576.2	
aldh16a1	ALDH16A1
si:dkey-7j14.6	MS4A3
si:dkey-7j14.6	MS4A7
si:dkey-7j14.6	MS4A13
si:dkey-7j14.6	MS4A5
si:dkey-7j14.6	MS4A2
si:dkey-7j14.6	MS4A18
si:dkey-7j14.6	MS4A15
si:dkey-7j14.6	MS4A1
si:dkey-7j14.6	MS4A14
si:dkey-7j14.6	MS4A10
si:dkey-7j14.6	MS4A6E
si:dkey-7j14.6	MS4A6A
rprm3	
eef1akmt1	EEF1AKMT1
krtcap2	KRTCAP2
jagn1a	JAGN1
pla2g1b	PLA2G1B
slc2a15a	SLC2A7
slc2a15a	SLC2A3
slc2a15a	SLC2A14
akirin1	AKIRIN1
mief2	MIEF2
ambra1b	AMBRA1
bmp6	BMP6
wdr92	WDR92
akirin1	AKIRIN1
si:ch73-189n23.1	
lbx1a	LBX1
lbx1a	LBX2
hif1aa	HIF1A
anks1b	ANKS1B
gja8b	GJA8
trim71	TRIM71
rmdn1	RMDN1
p2rx5	P2RX5-TAX1BP3
p2rx5	P2RX5
hrasls	
zak	MAP3K20
mfsd4aa	MFSD4A
mybphb	MYBPH
pkig	PKIG
gpr183b	GPR183
fgfr1a	
fgfr1a	
pkig	PKIG
atxn2l	ATXN2L
fgfr1a	
zgc:153920	PLEKHS1
cpsf6	CPSF6
cdh18a	CDH18
slc35f6	SLC35F6
rpp14	RPP14
rps26	RPS26
hes2.1	HES2
ttpal	TTPAL
olig4	
gata2b	GATA2
rgs18	RGS18
rgs18	RGS14
kctd8	KCTD8
arl2	ARL2-SNX15
arl2	ARL2
wnt9b	WNT9B
znfl1b	
tmem82	TMEM82
ccl20b	
morc2	MORC2
pde6c	PDE6C
clta	CLTA
zgc:64022	
emc8	EMC8
si:ch211-170d8.5	FCER2
si:ch211-170d8.5	CD209
si:ch211-170d8.5	CLEC4G
si:ch211-170d8.5	CLEC6A
si:ch211-170d8.5	ASGR2
si:ch211-170d8.5	CLEC4M
si:ch211-170d8.5	CD207
si:ch211-170d8.5	CLEC4A
tjp2b	AL358113.1
tjp2b	TJP2
dclre1a	DCLRE1A
ubac2	UBAC2
rgs5b	
zgc:152936	
pex19	PEX19
si:ch73-71c20.5	
eefsec	EEFSEC
irf4a	IRF4
pole4	POLE4
ttbk2b	TTBK1
ttbk2b	TTBK2
ttbk2b	CSNK1A1L
nanp	NANP
ap5s1	AP5S1
mdm2	MDM2
vax2	VAX2
idh3b	IDH3B
chchd7	CHCHD7
fam221a	FAM221A
mcee	
tfdp2	TFDP2
gfpt2	GFPT2
irak1bp1	IRAK1BP1
hcst	
zgc:194007	
zgc:194007	
dnph1	DNPH1
nucks1b	NUCKS1
ccl44	
zgc:194007	
otud7b	OTUD7B
tspan37	
riok1	RIOK1
tyrobp	TYROBP
ptprfb	PTPRF
arf2a	
dennd5b	
cyp27a1.4	CYP27A1
tfr1b	TFRC
enpp7.1	ENPP7
slc14a2	SLC14A1
slc14a2	SLC14A2
rxrgb	RXRG
acat2	ACAT2
fthl27	
asap1a	ASAP1
pimr133	
hnf4a	HNF4A
slc1a6	SLC1A6
acad11	ACAD11
glrx5	GLRX5
peli1b	PELI1
mcm6	MCM6
terb1	TERB1
slc25a25a	SLC25A25
mrpl13	MRPL13
nipal4	NIPAL4
rbck1	RBCK1
rbck1	SHARPIN
serpinb1l3	SERPINB8
notum2	
cyfip1	CYFIP1
ints11	INTS11
il1rapl2	IL1RAPL2
ss18l2	SS18L2
hoxb9a	HOXB9
trim35-1	
pwp2h	PWP2
pwp2h	FP565260.1
pimr132	
rbbp5	RBBP5
cnot3b	CNOT3
use1	USE1
ldhd	LDHD
gata2a	GATA2
fzd3b	FZD3
mtmr12	MTMR12
glrba	GLRB
aagab	AAGAB
gabrb2a	GABRB2
zgc:85777	
srp54	SRP54
dbx1a	DBX1
fes	FES
zgc:92518	
ttc29	TTC29
cahz	CA9
cahz	CA13
cahz	CA2
cahz	CA3
cahz	CA11
cahz	CA5A
cahz	CA1
plag1	PLAG1
b3gnt3.2	B3GNT3
aif1l	AIF1L
ccdc137	CCDC137
stat5b	STAT5A
stat5b	STAT5B
atf6	ATF6
zc4h2	ZC4H2
heatr5a	HEATR5A
ergic1	ERGIC1
fkbp1aa	
fkbp1aa	
fkbp1aa	
cyp1b1	CYP1B1
cyp1b1	CYP1B1
bsdc1	BSDC1
lias	LIAS
si:ch211-114c12.2	
nefma	
asah1a	ASAH1
ppp1r1c	PPP1R1C
gadd45ab	GADD45A
tm6sf2	TM6SF2
plin2	PLIN2
zbtb8b	AL033529.1
zbtb8b	C17orf113
zbtb8b	ZBTB8B
ankrd6b	ANKRD6
camkvb	CAMKV
tapbp.2	TAPBP
rfc4	RFC4
thap7	THAP7
ssuh2.4	
bloc1s2	BLOC1S2
hoxb8a	HOXB8
myof	MYOF
bloc1s2	BLOC1S2
smpd5	
si:ch211-202h22.9	
bckdk	BCKDK
mrps36	MRPS36
mindy1	MINDY1
hoxb7a	HOXB7
nf2a	NF2
selenot1a	SELENOT
sh3bp4	SH3BP4
orai2	ORAI2
bscl2l	BSCL2
adcyap1r1a	ADCYAP1R1
adcyap1r1a	ADCYAP1R1
zgc:113340	
slc8a3	SLC8A3
rps20	
adcyap1r1a	ADCYAP1R1
itpa	ITPA
avpr1ab	AVPR1A
slco1d1	
eno3	ENO3
zfr	ZFR
hpda	
nr4a1	NR4A1
tfg	TFG
itgb5	ITGB5
cnrip1a	CNRIP1
lsm6	LSM6
tfg	TFG
zgc:162297	
cnppd1	CNPPD1
cipca	CIPC
sdhda	AP002884.3
sdhda	SDHD
lmna	LMNA
sbf1	SBF1
tfdp1a	TFDP1
zgc:77486	
opn3	OPN3
prpf8	PRPF8
gsto2	GSTO1
tardbpl	TARDBP
zgc:123105	KIAA1191
pls3	PLS3
b3gnt3.3	B3GNT3
kcnk10b	KCNK10
hdac10	HDAC10
rpl17	RPL17
rpl17	RPL17-C18orf32
pdgfab	PDGFA
gosr2	GOSR2
gosr2	AC005670.2
rpl17	RPL17
rpl17	RPL17-C18orf32
METTL21C	METTL21C
ptger2a	PTGER2
pi15a	PI15
zgc:66473	SEPT14
zgc:66473	SEPT1
caspb	
fgf14	FGF14
ptk7a	PTK7
herpud1	HERPUD1
espn	ESPN
mrtfab	MRTFA
elk4	ELK4
sult3st3	SULT1A2
sult3st3	SULT1A1
sult3st3	SULT1A3
sult3st3	SULT1A4
nck2a	
snrkb	
ttc21b	TTC21B
pacsin3	PACSIN3
pgam2	PGAM2
klhl4	KLHL4
ash1l	ASH1L
elk4	ELK4
il2rgb	IL2RG
il2rgb	AL590764.2
il2rgb	IL3RA
il2rgb	IL27RA
rhbdl2	RHBDL2
mea1	MEA1
slc30a4	SLC30A4
klhl4	KLHL4
dusp11	DUSP11
